EmpId,InTime,OutTime
5,01/07/2018 09:00:00 AM,01/07/2018 07:00:00 PM
6,01/07/2018 09:00:00 AM,01/07/2018 07:00:00 PM
1,01/07/2018 09:00:00 AM,01/07/2018 07:11:00 PM
2,01/07/2018 09:00:00 AM,01/07/2018 07:11:00 PM
3,01/07/2018 09:00:00 AM,01/07/2018 07:11:00 PM
4,01/07/2018 09:00:00 AM,01/07/2018 07:11:00 PM
1,21/06/2018 10:00:00 AM,21/06/2018 04:00:00 PM
2,21/06/2018 10:00:00 AM,21/06/2018 04:00:00 PM
3,21/06/2018 10:00:00 AM,21/06/2018 04:00:00 PM
4,21/06/2018 10:00:00 AM,21/06/2018 04:00:00 PM
5,21/06/2018 10:00:00 AM,21/06/2018 04:00:00 PM
6,21/06/2018 09:00:00 AM,21/06/2018 07:00:00 PM
3,22/06/2018 11:00:00 AM,22/06/2018 05:00:00 PM
4,22/06/2018 11:00:00 AM,22/06/2018 05:00:00 PM
5,22/06/2018 11:00:00 AM,22/06/2018 05:00:00 PM
6,22/06/2018 11:00:00 AM,22/06/2018 05:00:00 PM
1,22/06/2018 09:00:00 AM,22/06/2018 07:00:00 PM
2,22/06/2018 09:00:00 AM,22/06/2018 07:00:00 PM
5,23/06/2018 11:00:00 AM,23/06/2018 02:00:00 PM
6,23/06/2018 11:00:00 AM,23/06/2018 02:00:00 PM
1,23/06/2018 09:00:00 AM,23/06/2018 07:00:00 PM
2,23/06/2018 09:00:00 AM,23/06/2018 07:00:00 PM
3,23/06/2018 09:00:00 AM,23/06/2018 07:00:00 PM
4,23/06/2018 09:00:00 AM,23/06/2018 07:00:00 PM
2,24/06/2018 11:00:00 AM,24/06/2018 02:00:00 PM
3,24/06/2018 11:00:00 AM,24/06/2018 02:00:00 PM
4,24/06/2018 09:00:00 AM,24/06/2018 07:00:00 PM
5,24/06/2018 09:00:00 AM,24/06/2018 07:00:00 PM
6,24/06/2018 09:00:00 AM,24/06/2018 07:00:00 PM
1,25/06/2018 09:00:00 AM,25/06/2018 07:00:00 PM
2,25/06/2018 09:30:00 AM,25/06/2018 07:22:00 PM
3,25/06/2018 09:30:00 AM,25/06/2018 07:22:00 PM
4,25/06/2018 09:30:00 AM,25/06/2018 07:22:00 PM
5,25/06/2018 09:30:00 AM,25/06/2018 07:22:00 PM
6,25/06/2018 09:30:00 AM,25/06/2018 07:22:00 PM

1,26/06/2018 09:30:00 AM,26/06/2018 07:22:00 PM
2,26/06/2018 09:30:00 AM,26/06/2018 07:22:00 PM
3,,26/06/2018 07:22:00 PM
4,26/06/2018 09:30:00 AM,26/06/2018 07:22:00 PM
6,26/06/2018 09:30:00 AM,26/06/2018 07:22:00 PM
1,27/06/2018 09:30:00 AM,27/06/2018 07:22:00 PM
2,27/06/2018 09:00:00 AM,27/06/2018 07:22:00 PM
3,27/06/2018 09:00:00 AM,27/06/2018 07:22:00 PM
4,27/06/2018 09:00:00 AM,27/06/2018 07:22:00 PM
5,27/06/2018 09:00:00 AM,27/06/2018 07:22:00 PM
6,27/06/2018 09:00:00 AM,27/06/2018 07:22:00 PM
6,28/06/2018 09:00:00 AM,28/06/2018 07:00:00 PM
2,28/06/2018 09:00:00 AM,28/06/2018 07:22:00 PM
3,28/06/2018 09:00:00 AM,28/06/2018 07:22:00 PM
4,28/06/2018 09:00:00 AM,28/06/2018 07:22:00 PM
5,28/06/2018 09:00:00 AM,28/06/2018 07:22:00 PM
1,29/06/2018 09:00:00 AM,29/06/2018 07:00:00 PM
2,29/06/2018 09:00:00 AM,29/06/2018 07:00:00 PM
3,29/06/2018 09:00:00 AM,29/06/2018 07:00:00 PM
4,29/06/2018 09:00:00 AM,29/06/2018 07:00:00 PM
5,29/06/2018 09:00:00 AM,29/06/2018 07:00:00 PM
5,30/06/2018 09:00:00 AM,30/06/2018 07:00:00 PM
6,30/06/2018 09:00:00 AM,30/06/2018 07:00:00 PM
1,30/06/2018 09:00:00 AM,30/06/2018 07:11:00 PM
2,30/06/2018 09:00:00 AM,30/06/2018 07:11:00 PM
3,30/06/2018 09:00:00 AM,30/06/2018 07:11:00 PM
4,30/06/2018 09:00:00 AM,30/06/2018 07:11:00 PM
1,,
